pattern,sequence,value
0,"(4, 7, 6, 9, 3, 3, '+', '*', '*', '+', '+')",335
0,"(4, 7, 9, 6, 3, 3, '+', '*', '*', '+', '+')",335
0,"(7, 4, 6, 9, 3, 3, '+', '*', '*', '+', '+')",335
0,"(7, 4, 9, 6, 3, 3, '+', '*', '*', '+', '+')",335
1,"(4, 7, 6, 3, 3, '+', 9, '*', '*', '+', '+')",335
1,"(4, 7, 9, 3, 3, '+', 6, '*', '*', '+', '+')",335
1,"(7, 4, 6, 3, 3, '+', 9, '*', '*', '+', '+')",335
1,"(7, 4, 9, 3, 3, '+', 6, '*', '*', '+', '+')",335
2,"(4, 7, 3, 3, '+', 6, 9, '*', '*', '+', '+')",335
2,"(4, 7, 3, 3, '+', 9, 6, '*', '*', '+', '+')",335
2,"(4, 7, 6, 9, '*', 3, 3, '+', '*', '+', '+')",335
2,"(4, 7, 9, 6, '*', 3, 3, '+', '*', '+', '+')",335
2,"(7, 4, 3, 3, '+', 6, 9, '*', '*', '+', '+')",335
2,"(7, 4, 3, 3, '+', 9, 6, '*', '*', '+', '+')",335
2,"(7, 4, 6, 9, '*', 3, 3, '+', '*', '+', '+')",335
2,"(7, 4, 9, 6, '*', 3, 3, '+', '*', '+', '+')",335
3,"(4, 7, 6, 3, 3, '+', '*', 9, '*', '+', '+')",335
3,"(4, 7, 9, 3, 3, '+', '*', 6, '*', '+', '+')",335
3,"(7, 4, 6, 3, 3, '+', '*', 9, '*', '+', '+')",335
3,"(7, 4, 9, 3, 3, '+', '*', 6, '*', '+', '+')",335
4,"(4, 7, 3, 3, '+', 6, '*', 9, '*', '+', '+')",335
4,"(4, 7, 3, 3, '+', 9, '*', 6, '*', '+', '+')",335
4,"(7, 4, 3, 3, '+', 6, '*', 9, '*', '+', '+')",335
4,"(7, 4, 3, 3, '+', 9, '*', 6, '*', '+', '+')",335
9,"(4, 6, 9, 3, 3, '+', '*', '*', 7, '+', '+')",335
9,"(4, 9, 6, 3, 3, '+', '*', '*', 7, '+', '+')",335
9,"(7, 6, 9, 3, 3, '+', '*', '*', 4, '+', '+')",335
9,"(7, 9, 6, 3, 3, '+', '*', '*', 4, '+', '+')",335
10,"(4, 6, 3, 3, '+', 9, '*', '*', 7, '+', '+')",335
10,"(4, 9, 3, 3, '+', 6, '*', '*', 7, '+', '+')",335
10,"(7, 6, 3, 3, '+', 9, '*', '*', 4, '+', '+')",335
10,"(7, 9, 3, 3, '+', 6, '*', '*', 4, '+', '+')",335
11,"(4, 3, 3, '+', 6, 9, '*', '*', 7, '+', '+')",335
11,"(4, 3, 3, '+', 9, 6, '*', '*', 7, '+', '+')",335
11,"(4, 6, 9, '*', 3, 3, '+', '*', 7, '+', '+')",335
11,"(4, 9, 6, '*', 3, 3, '+', '*', 7, '+', '+')",335
11,"(7, 3, 3, '+', 6, 9, '*', '*', 4, '+', '+')",335
11,"(7, 3, 3, '+', 9, 6, '*', '*', 4, '+', '+')",335
11,"(7, 6, 9, '*', 3, 3, '+', '*', 4, '+', '+')",335
11,"(7, 9, 6, '*', 3, 3, '+', '*', 4, '+', '+')",335
12,"(4, 6, 3, 3, '+', '*', 9, '*', 7, '+', '+')",335
12,"(4, 9, 3, 3, '+', '*', 6, '*', 7, '+', '+')",335
12,"(7, 6, 3, 3, '+', '*', 9, '*', 4, '+', '+')",335
12,"(7, 9, 3, 3, '+', '*', 6, '*', 4, '+', '+')",335
13,"(4, 3, 3, '+', 6, '*', 9, '*', 7, '+', '+')",335
13,"(4, 3, 3, '+', 9, '*', 6, '*', 7, '+', '+')",335
13,"(7, 3, 3, '+', 6, '*', 9, '*', 4, '+', '+')",335
13,"(7, 3, 3, '+', 9, '*', 6, '*', 4, '+', '+')",335
14,"(4, 7, '+', 6, 9, 3, 3, '+', '*', '*', '+')",335
14,"(4, 7, '+', 9, 6, 3, 3, '+', '*', '*', '+')",335
14,"(7, 4, '+', 6, 9, 3, 3, '+', '*', '*', '+')",335
14,"(7, 4, '+', 9, 6, 3, 3, '+', '*', '*', '+')",335
15,"(4, 7, '+', 6, 3, 3, '+', 9, '*', '*', '+')",335
15,"(4, 7, '+', 9, 3, 3, '+', 6, '*', '*', '+')",335
15,"(7, 4, '+', 6, 3, 3, '+', 9, '*', '*', '+')",335
15,"(7, 4, '+', 9, 3, 3, '+', 6, '*', '*', '+')",335
16,"(4, 7, '+', 3, 3, '+', 6, 9, '*', '*', '+')",335
16,"(4, 7, '+', 3, 3, '+', 9, 6, '*', '*', '+')",335
16,"(4, 7, '+', 6, 9, '*', 3, 3, '+', '*', '+')",335
16,"(4, 7, '+', 9, 6, '*', 3, 3, '+', '*', '+')",335
16,"(7, 4, '+', 3, 3, '+', 6, 9, '*', '*', '+')",335
16,"(7, 4, '+', 3, 3, '+', 9, 6, '*', '*', '+')",335
16,"(7, 4, '+', 6, 9, '*', 3, 3, '+', '*', '+')",335
16,"(7, 4, '+', 9, 6, '*', 3, 3, '+', '*', '+')",335
17,"(4, 7, '+', 6, 3, 3, '+', '*', 9, '*', '+')",335
17,"(4, 7, '+', 9, 3, 3, '+', '*', 6, '*', '+')",335
17,"(7, 4, '+', 6, 3, 3, '+', '*', 9, '*', '+')",335
17,"(7, 4, '+', 9, 3, 3, '+', '*', 6, '*', '+')",335
18,"(4, 7, '+', 3, 3, '+', 6, '*', 9, '*', '+')",335
18,"(4, 7, '+', 3, 3, '+', 9, '*', 6, '*', '+')",335
18,"(7, 4, '+', 3, 3, '+', 6, '*', 9, '*', '+')",335
18,"(7, 4, '+', 3, 3, '+', 9, '*', 6, '*', '+')",335
19,"(3, 6, 3, '/', '+', 4, 7, 9, '*', '+', '*')",335
19,"(3, 6, 3, '/', '+', 4, 9, 7, '*', '+', '*')",335
19,"(4, 7, 9, '*', '+', 3, 6, 3, '/', '+', '*')",335
19,"(4, 7, 9, '*', '+', 6, 3, 3, '/', '-', '*')",335
19,"(4, 9, 7, '*', '+', 3, 6, 3, '/', '+', '*')",335
19,"(4, 9, 7, '*', '+', 6, 3, 3, '/', '-', '*')",335
19,"(6, 3, 3, '/', '-', 4, 7, 9, '*', '+', '*')",335
19,"(6, 3, 3, '/', '-', 4, 9, 7, '*', '+', '*')",335
20,"(3, 6, 3, '/', '+', 7, 9, '*', 4, '+', '*')",335
20,"(3, 6, 3, '/', '+', 9, 7, '*', 4, '+', '*')",335
20,"(4, 7, 9, '*', '+', 6, 3, '/', 3, '+', '*')",335
20,"(4, 9, 7, '*', '+', 6, 3, '/', 3, '+', '*')",335
20,"(6, 3, 3, '/', '-', 7, 9, '*', 4, '+', '*')",335
20,"(6, 3, 3, '/', '-', 9, 7, '*', 4, '+', '*')",335
21,"(6, 3, '/', 3, '+', 4, 7, 9, '*', '+', '*')",335
21,"(6, 3, '/', 3, '+', 4, 9, 7, '*', '+', '*')",335
21,"(7, 9, '*', 4, '+', 3, 6, 3, '/', '+', '*')",335
21,"(7, 9, '*', 4, '+', 6, 3, 3, '/', '-', '*')",335
21,"(9, 7, '*', 4, '+', 3, 6, 3, '/', '+', '*')",335
21,"(9, 7, '*', 4, '+', 6, 3, 3, '/', '-', '*')",335
22,"(6, 3, '/', 3, '+', 7, 9, '*', 4, '+', '*')",335
22,"(6, 3, '/', 3, '+', 9, 7, '*', 4, '+', '*')",335
22,"(7, 9, '*', 4, '+', 6, 3, '/', 3, '+', '*')",335
22,"(9, 7, '*', 4, '+', 6, 3, '/', 3, '+', '*')",335
23,"(6, 9, 3, 3, '+', '*', '*', 4, 7, '+', '+')",335
23,"(6, 9, 3, 3, '+', '*', '*', 7, 4, '+', '+')",335
23,"(9, 6, 3, 3, '+', '*', '*', 4, 7, '+', '+')",335
23,"(9, 6, 3, 3, '+', '*', '*', 7, 4, '+', '+')",335
24,"(6, 3, 3, '+', 9, '*', '*', 4, 7, '+', '+')",335
24,"(6, 3, 3, '+', 9, '*', '*', 7, 4, '+', '+')",335
24,"(9, 3, 3, '+', 6, '*', '*', 4, 7, '+', '+')",335
24,"(9, 3, 3, '+', 6, '*', '*', 7, 4, '+', '+')",335
25,"(3, 3, '+', 6, 9, '*', '*', 4, 7, '+', '+')",335
25,"(3, 3, '+', 6, 9, '*', '*', 7, 4, '+', '+')",335
25,"(3, 3, '+', 9, 6, '*', '*', 4, 7, '+', '+')",335
25,"(3, 3, '+', 9, 6, '*', '*', 7, 4, '+', '+')",335
25,"(6, 9, '*', 3, 3, '+', '*', 4, 7, '+', '+')",335
25,"(6, 9, '*', 3, 3, '+', '*', 7, 4, '+', '+')",335
25,"(9, 6, '*', 3, 3, '+', '*', 4, 7, '+', '+')",335
25,"(9, 6, '*', 3, 3, '+', '*', 7, 4, '+', '+')",335
26,"(6, 3, 3, '+', '*', 9, '*', 4, 7, '+', '+')",335
26,"(6, 3, 3, '+', '*', 9, '*', 7, 4, '+', '+')",335
26,"(9, 3, 3, '+', '*', 6, '*', 4, 7, '+', '+')",335
26,"(9, 3, 3, '+', '*', 6, '*', 7, 4, '+', '+')",335
