signature,value,length,sequence,miss
((6+7)*3*9)+4,355,5,"(4, 3, 9, 6, 7, '+', '*', '*', '+')",0
4-((3-(6*7))*9),355,5,"(4, 9, 3, 6, 7, '*', '-', '*', '-')",0
(((6*7)-3)*9)+4,355,5,"(4, 9, 6, 7, '*', 3, '-', '*', '+')",0
((((3+6)*9)+7)*4)+3,355,6,"(3, 4, 7, 9, 3, 6, '+', '*', '+', '*', '+')",0
4-((9-(3*6*7))*3),355,6,"(4, 3, 9, 3, 6, 7, '*', '*', '-', '*', '-')",0
(((3*3*9)+6)*4)+7,355,6,"(7, 4, 6, 3, 3, 9, '*', '*', '+', '*', '+')",0
((((3+3)*9)+4)*6)+7,355,6,"(7, 6, 4, 9, 3, 3, '+', '*', '+', '*', '+')",0
(((3*6)+(3*7))*9)+4,355,6,"(4, 9, 3, 6, '*', 3, 7, '*', '+', '*', '+')",0
(((3*6*7)-9)*3)+4,355,6,"(4, 3, 3, 6, 7, '*', '*', 9, '-', '*', '+')",0
(((3*6)+4)*(7+9))+3,355,6,"(3, 7, 9, '+', 4, 3, 6, '*', '+', '*', '+')",0
(((6*9)+4)*(3+3))+7,355,6,"(7, 3, 3, '+', 4, 6, 9, '*', '+', '*', '+')",0
(3/3)-((4-(7*9))*6),355,6,"(3, 3, '/', 6, 4, 7, 9, '*', '-', '*', '-')",0
(((7*9)-4)*6)+(3/3),355,6,"(3, 3, '/', 6, 7, 9, '*', 4, '-', '*', '+')",0
